scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1113,1,0.231,59.12,0.00,0.00
question,WebQTest-1114,1,0.370,119.98,0.00,0.00
question,WebQTest-1115,1,0.253,84.84,0.00,0.00
question,WebQTest-1116,1,0.198,58.80,0.00,0.00
question,WebQTest-1117,1,0.526,153.45,0.00,0.00
question,WebQTest-1118,1,0.233,59.23,0.00,0.00
question,WebQTest-1119,1,0.422,120.55,0.00,0.00
question,WebQTest-112,1,0.217,59.24,0.00,0.00
question,WebQTest-1120,1,0.198,58.16,0.00,0.00
question,WebQTest-1121,1,0.233,59.00,0.00,0.00
question,WebQTest-1124,1,-1.120,56.75,0.00,0.00
question,WebQTest-1125,1,0.331,115.55,0.00,0.00
question,WebQTest-1126,1,0.224,51.89,0.00,0.00
question,WebQTest-1127,1,0.181,58.95,0.00,0.00
question,WebQTest-1130,1,0.146,28.41,0.00,0.00
question,WebQTest-1131,1,0.233,89.91,0.00,0.00
question,WebQTest-1132,1,0.198,29.78,0.00,0.00
question,WebQTest-1133,1,0.215,88.57,0.00,0.00
question,WebQTest-1135,1,0.235,58.50,0.00,0.00
question,WebQTest-1136,1,0.215,55.83,0.00,0.00
question,WebQTest-1137,1,0.318,89.51,0.00,0.00
question,WebQTest-1138,1,0.198,59.34,0.00,0.00
question,WebQTest-114,1,0.223,84.84,0.00,0.00
question,WebQTest-1142,1,0.149,58.83,0.00,0.00
question,WebQTest-1143,1,0.534,152.07,0.00,0.00
question,WebQTest-1144,1,0.446,121.46,0.00,0.00
question,WebQTest-1145,1,0.237,58.51,0.00,0.00
question,WebQTest-1146,1,0.201,57.31,0.00,0.00
question,WebQTest-1147,1,9.018,2720.56,0.00,0.00
question,WebQTest-1148,1,0.262,87.26,0.00,0.00
question,WebQTest-1149,1,0.335,90.38,0.00,0.00
question,WebQTest-115,1,0.269,56.42,0.00,0.00
question,WebQTest-1151,1,0.207,58.62,0.00,0.00
question,WebQTest-1152,1,0.247,53.04,0.00,0.00
question,WebQTest-1153,1,0.244,88.77,0.00,0.00
question,WebQTest-1154,1,0.244,59.18,0.00,0.00
question,WebQTest-1155,1,0.622,178.86,0.00,0.00
question,WebQTest-1156,1,0.244,58.93,0.00,0.00
question,WebQTest-116,1,0.182,55.61,0.00,0.00
question,WebQTest-1160,1,0.243,57.45,0.00,0.00
question,WebQTest-1161,1,0.244,91.86,0.00,0.00
question,WebQTest-1163,1,0.229,56.21,0.00,0.00
question,WebQTest-1164,1,0.221,58.25,0.00,0.00
question,WebQTest-1166,1,0.235,59.39,0.00,0.00
question,WebQTest-1168,1,0.375,119.95,0.00,0.00
question,WebQTest-1169,1,0.149,24.23,0.00,0.00
question,WebQTest-1170,1,0.217,60.51,0.00,0.00
question,WebQTest-1171,1,0.218,61.91,0.00,0.00
question,WebQTest-1173,1,0.183,27.37,0.00,0.00
question,WebQTest-1174,1,0.235,91.39,0.00,0.00
question,WebQTest-1175,1,0.148,25.54,0.00,0.00
question,WebQTest-1176,1,0.221,53.22,0.00,0.00
