scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1937,74,27.320,8716.90,0.00,0.00
question,WebQTest-1938,13,3.727,1244.10,0.00,0.00
question,WebQTest-1939,6,3.337,1102.09,0.00,0.00
question,WebQTest-194,156,15.473,4951.87,0.00,0.00
question,WebQTest-1940,38,16.567,5035.76,0.00,0.00
question,WebQTest-1941,5,2.667,873.16,0.00,0.00
question,WebQTest-1942,13,3.979,1279.84,0.00,0.00
question,WebQTest-1943,5,2.844,928.49,0.00,0.00
question,WebQTest-1944,5,2.322,750.49,0.00,0.00
question,WebQTest-1946,5,2.757,939.55,0.00,0.00
question,WebQTest-1947,5,2.622,876.72,0.00,0.00
question,WebQTest-195,7,3.686,1202.27,0.00,0.00
question,WebQTest-1950,6,2.760,928.25,0.00,0.00
question,WebQTest-1952,6,2.387,781.86,0.00,0.00
question,WebQTest-1954,7,3.073,1034.77,0.00,0.00
question,WebQTest-1955,460,36.376,11433.19,0.00,0.00
question,WebQTest-1956,1049,21.879,6482.32,0.00,0.00
question,WebQTest-1957,22,5.313,1691.56,0.00,0.00
question,WebQTest-1958,19,6.840,2215.06,0.00,0.00
question,WebQTest-196,7,3.356,1071.86,0.00,0.00
question,WebQTest-1960,6,3.491,1133.93,0.00,0.00
question,WebQTest-1961,5,3.501,1159.31,0.00,0.00
question,WebQTest-1962,6,3.421,1140.31,0.00,0.00
question,WebQTest-1963,6,2.705,860.17,0.00,0.00
question,WebQTest-1964,55,15.326,4917.68,0.00,0.00
question,WebQTest-1965,13,3.747,1199.97,0.00,0.00
question,WebQTest-1966,6,4.319,1449.02,0.00,0.00
question,WebQTest-1967,6,3.565,1194.20,0.00,0.00
question,WebQTest-1968,5,2.459,793.03,0.00,0.00
question,WebQTest-1969,33,12.444,4130.71,0.00,0.00
question,WebQTest-197,6,4.819,1607.66,0.00,0.00
question,WebQTest-1971,58,8.633,2728.53,0.00,0.00
question,WebQTest-1972,13,4.256,1355.30,0.00,0.00
question,WebQTest-1975,76,4.645,1445.31,0.00,0.00
question,WebQTest-1976,24,7.589,2402.14,0.00,0.00
question,WebQTest-1977,14,4.392,1401.76,0.00,0.00
question,WebQTest-1978,7,3.228,1033.91,0.00,0.00
question,WebQTest-1979,13,6.435,2099.27,0.00,0.00
question,WebQTest-1981,12,4.441,1429.13,0.00,0.00
question,WebQTest-1982,6,3.348,1103.49,0.00,0.00
question,WebQTest-1985,42,10.258,3262.17,0.00,0.00
question,WebQTest-1986,51,7.862,2507.99,0.00,0.00
question,WebQTest-1987,25,10.010,3213.02,0.00,0.00
question,WebQTest-1988,12,3.685,1191.64,0.00,0.00
question,WebQTest-199,18,9.612,3287.85,0.00,0.00
question,WebQTest-1990,86,10.190,3259.04,0.00,0.00
question,WebQTest-1991,99,58.078,19158.60,0.00,0.00
question,WebQTest-1992,28,12.684,4048.29,0.00,0.00
question,WebQTest-1993,5,2.690,910.66,0.00,0.00
question,WebQTest-1994,45,4.970,1616.94,0.00,0.00
question,WebQTest-1996,187,30.744,9521.88,0.00,0.00
question,WebQTest-1997,644,30.650,9393.20,0.00,0.00
question,WebQTest-1998,10,3.949,1275.50,0.00,0.00
question,WebQTest-1999,19,9.268,3037.23,0.00,0.00
question,WebQTest-20,79,35.702,11341.96,0.00,0.00
question,WebQTest-200,6,2.592,865.93,0.00,0.00
question,WebQTest-2000,147,7.529,2335.09,0.00,0.00
question,WebQTest-2001,6,4.162,1403.15,0.00,0.00
question,WebQTest-2002,5,2.511,835.77,0.00,0.00
question,WebQTest-2003,9,6.200,2006.03,0.00,0.00
question,WebQTest-2004,4,2.335,831.19,0.00,0.00
question,WebQTest-2005,25,9.925,3156.15,0.00,0.00
question,WebQTest-2006,59,25.096,8240.15,0.00,0.00
question,WebQTest-2007,6,2.999,1005.11,0.00,0.00
question,WebQTest-2008,6,5.526,1772.82,0.00,0.00
question,WebQTest-2009,19,4.268,1360.35,0.00,0.00
question,WebQTest-201,6,2.316,747.00,0.00,0.00
question,WebQTest-2010,11,4.113,1327.41,0.00,0.00
question,WebQTest-2011,6,2.685,898.04,0.00,0.00
question,WebQTest-2012,5,2.232,748.02,0.00,0.00
question,WebQTest-2013,6,2.717,901.20,0.00,0.00
question,WebQTest-2014,13,7.206,2323.11,0.00,0.00
question,WebQTest-2015,5,2.931,1013.44,0.00,0.00
question,WebQTest-2016,6,2.579,809.75,0.00,0.00
question,WebQTest-2017,15,4.891,1616.15,0.00,0.00
question,WebQTest-2018,6,2.916,939.60,0.00,0.00
question,WebQTest-2019,14,4.155,1359.09,0.00,0.00
question,WebQTest-202,6,2.845,1000.74,0.00,0.00
question,WebQTest-2020,20,10.773,3455.92,0.00,0.00
question,WebQTest-2021,179,54.052,17760.83,0.00,0.00
question,WebQTest-2022,6,2.516,824.50,0.00,0.00
question,WebQTest-2023,11,3.585,1163.12,0.00,0.00
question,WebQTest-2024,7,4.132,1308.38,0.00,0.00
question,WebQTest-2025,5,2.357,785.18,0.00,0.00
question,WebQTest-2027,20,12.209,4074.93,0.00,0.00
question,WebQTest-2028,367,9.989,3050.39,0.00,0.00
question,WebQTest-2029,44,19.512,6341.48,0.00,0.00
question,WebQTest-2030,36,13.514,4298.05,0.00,0.00
question,WebQTest-2031,5,1.940,627.99,0.00,0.00
question,WebQTest-204,6,2.563,886.76,0.00,0.00
question,WebQTest-205,17,4.787,1562.21,0.00,0.00
question,WebQTest-206,7,2.970,969.74,0.00,0.00
question,WebQTest-207,34,13.620,4448.27,0.00,0.00
question,WebQTest-209,150,28.962,9357.74,0.00,0.00
question,WebQTest-21,7,3.031,964.46,0.00,0.00
question,WebQTest-210,6,2.100,692.46,0.00,0.00
question,WebQTest-211,166,35.504,11134.57,0.00,0.00
question,WebQTest-212,9,4.190,1356.65,0.00,0.00
question,WebQTest-213,20,4.988,1620.69,0.00,0.00
question,WebQTest-214,25,8.944,2916.12,0.00,0.00
question,WebQTest-215,6,2.425,784.21,0.00,0.00
question,WebQTest-216,144,63.413,20618.71,0.00,0.00
question,WebQTest-217,5,3.170,1088.59,0.00,0.00
question,WebQTest-218,58,32.896,8479.99,0.00,0.00
question,WebQTest-22,6,2.906,1008.83,0.00,0.00
question,WebQTest-220,6,2.823,938.15,0.00,0.00
question,WebQTest-221,24,7.760,2510.26,0.00,0.00
question,WebQTest-222,362,120.177,39481.87,0.00,0.00
question,WebQTest-224,15,4.258,1406.91,0.00,0.00
question,WebQTest-225,35,13.050,4299.77,0.00,0.00
question,WebQTest-226,1127,31.414,9229.15,0.00,0.00
question,WebQTest-227,5,2.552,814.57,0.00,0.00
question,WebQTest-23,13,5.914,1890.92,0.00,0.00
question,WebQTest-231,32,12.328,3998.31,0.00,0.00
question,WebQTest-232,73,29.044,9554.23,0.00,0.00
question,WebQTest-233,6,3.442,1163.36,0.00,0.00
question,WebQTest-234,113,47.807,15721.36,0.00,0.00
