t,gpu0_w
1786064501.496,41.055
1786064501.597,40.915
1786064501.697,40.865
1786064501.797,40.736
1786064501.904,40.663
1786064502.004,40.525
1786064502.113,40.443
1786064502.213,39.944
1786064502.314,41.052
1786064502.414,42.45
1786064502.514,59.732
1786064502.614,80.902
1786064502.715,105.237
1786064502.815,130.351
1786064502.915,155.306
1786064503.015,180.261
1786064503.116,205.295
1786064503.216,230.018
1786064503.316,255.457
1786064503.416,279.353
1786064503.517,303.33
1786064503.617,310.571
1786064503.717,314.434
1786064503.817,318.927
1786064503.918,318.832
1786064504.018,318.975
1786064504.118,319.119
1786064504.219,319.004
1786064504.319,319.439
1786064504.419,319.66
1786064504.520,316.007
1786064504.620,324.641
1786064504.720,325.0
1786064504.821,325.249
1786064504.921,321.362
1786064505.021,321.503
1786064505.121,321.535
1786064505.222,321.333
1786064505.322,321.567
1786064505.423,321.601
1786064505.523,321.618
1786064505.623,325.233
1786064505.723,312.009
1786064505.824,311.875
1786064505.924,311.931
1786064506.024,311.929
1786064506.125,311.62
1786064506.225,311.428
1786064506.325,311.652
1786064506.426,311.488
1786064506.526,311.376
1786064506.627,311.288
1786064506.727,311.688
1786064506.828,316.191
1786064506.928,316.274
1786064507.028,316.05
1786064507.129,316.035
1786064507.229,315.926
1786064507.330,314.44
1786064507.430,314.421
1786064507.531,314.565
1786064507.631,314.614
1786064507.732,314.632
1786064507.832,314.512
1786064507.932,314.443
1786064508.033,323.943
1786064508.133,323.998
1786064508.234,324.151
1786064508.334,324.49
1786064508.434,326.302
1786064508.535,326.16
1786064508.635,326.063
1786064508.735,326.099
1786064508.835,325.834
1786064508.935,325.624
1786064509.036,322.734
1786064509.136,312.393
1786064509.236,312.144
1786064509.336,312.014
1786064509.437,312.306
1786064509.537,312.0
1786064509.637,312.197
1786064509.737,312.378
1786064509.838,312.338
1786064509.938,312.579
1786064510.038,312.542
1786064510.138,313.2
1786064510.239,319.534
1786064510.339,319.691
1786064510.439,319.936
1786064510.540,319.788
1786064510.640,319.896
1786064510.741,319.856
1786064510.841,319.916
1786064510.942,320.01
1786064511.042,320.041
1786064511.143,320.273
1786064511.243,322.744
1786064511.344,317.325
1786064511.444,317.266
1786064511.545,317.259
1786064511.645,315.844
1786064511.745,311.673
1786064511.846,311.634
1786064511.946,311.49
1786064512.047,311.373
1786064512.147,311.464
1786064512.248,311.217
1786064512.348,310.897
1786064512.448,310.663
1786064512.549,310.592
1786064512.649,310.309
1786064512.750,311.71
1786064512.850,315.802
1786064512.951,315.671
1786064513.051,314.822
1786064513.152,315.345
1786064513.252,314.964
1786064513.353,314.828
1786064513.453,315.18
1786064513.553,315.289
1786064513.654,315.423
1786064513.754,315.537
1786064513.855,315.363
1786064513.955,308.77
1786064514.056,323.594
1786064514.156,343.896
1786064514.281,341.737
1786064514.382,342.014
1786064514.482,341.771
1786064514.583,341.765
1786064514.683,341.761
1786064514.784,342.187
1786064514.884,342.162
1786064514.985,348.847
1786064515.085,334.126
1786064515.185,320.767
1786064515.286,310.922
1786064515.386,312.664
1786064515.487,312.642
1786064515.587,312.534
1786064515.687,312.428
1786064515.788,312.512
1786064515.888,312.073
1786064515.989,312.213
1786064516.089,312.588
1786064516.190,312.647
1786064516.290,312.572
1786064516.390,318.294
1786064516.491,316.651
1786064516.591,308.769
1786064516.691,321.233
1786064516.791,333.941
1786064516.892,345.062
1786064516.992,347.217
1786064517.092,344.844
1786064517.192,344.572
1786064517.292,344.55
1786064517.393,344.911
1786064517.493,344.885
1786064517.593,345.136
1786064517.693,353.133
1786064517.794,340.851
1786064517.894,323.616
1786064517.995,312.588
1786064518.095,313.1
