scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-102_2138a6c1814de01ffc054bed7c94061a,1,1.504,442.08,0.00,0.00
question,WebQTest-102_f1ebd9f7baa11e682ceb73a3b52a3771,1,0.836,250.53,0.00,0.00
question,WebQTest-1035_7908752e63d4926a1c38cc60236acad1,1,0.908,275.95,0.00,0.00
question,WebQTest-106_36ce9951114334bc0a51021ccd3d510a,1,0.960,282.59,0.00,0.00
question,WebQTest-106_87ddee8816a0dd02511eb7670904d500,1,-0.163,340.11,0.00,0.00
question,WebQTest-106_8a7ae3422867fd4b2d40b06930915468,1,0.905,282.64,0.00,0.00
question,WebQTest-106_904ed63e5448fe33c655f139031cfb74,1,1.282,408.75,0.00,0.00
question,WebQTest-106_ac6916d7c5822d5edfe0f67c77f97a15,1,1.429,442.08,0.00,0.00
question,WebQTest-106_adee4fffb5ddcd6fb97a507e2bd95983,1,0.202,474.86,0.00,0.00
question,WebQTest-106_c8290c381954f40b4b920252a7df33da,1,0.729,218.18,0.00,0.00
question,WebQTest-106_f21253e8b8df81c378590e68b2cd107e,1,1.418,436.78,0.00,0.00
question,WebQTest-1072_4fa3b53f1047599414336495b9275a38,1,1.182,343.23,0.00,0.00
question,WebQTest-1072_5b0246d0bc7172511480c78134ab2e39,1,1.427,404.14,0.00,0.00
question,WebQTest-1072_66d1d64f0a7a4de1241baa7f8b34c42a,1,0.906,282.26,0.00,0.00
question,WebQTest-1072_8e6dfa8822e4d4a94104aa4c25644866,1,1.264,376.87,0.00,0.00
question,WebQTest-1072_92f27159a96f716c1691371e64e5a604,1,1.119,344.76,0.00,0.00
question,WebQTest-1072_a86f2ebf5f56d7c7a97bcf7f76fa2d8f,1,1.454,437.55,0.00,0.00
question,WebQTest-1072_a965046ceb8f96e283925e0c41abb69a,1,0.009,374.14,0.00,0.00
question,WebQTest-1072_b955f51044a2123babff29671bfd4e70,1,0.889,280.34,0.00,0.00
question,WebQTest-1072_ff336cfd0a1c70f4e9b1a89b268c559d,1,1.325,404.23,0.00,0.00
question,WebQTest-1091_1e0c62b08e524a90e8318e55c31a5993,1,1.444,440.36,0.00,0.00
question,WebQTest-1091_2628f11e5d50a222dad0130ac27bc270,1,1.426,440.91,0.00,0.00
question,WebQTest-1091_2d45e5f27018fef8d4f5f7e2cf000006,1,1.227,347.78,0.00,0.00
question,WebQTest-1091_31c94b951f3d708ac503327d7979da93,1,1.193,373.77,0.00,0.00
question,WebQTest-1091_55446dcd04c73520c9a5973c1df50aaa,1,1.151,344.76,0.00,0.00
question,WebQTest-1091_5b52c9e057d0f0e6704f0b264e864dfc,1,1.034,305.59,0.00,0.00
question,WebQTest-1091_61efa0b17cc53c2187422d88bf670f22,1,0.913,281.61,0.00,0.00
question,WebQTest-1091_6a27420dcf0528ae017dd74e40cfd38a,1,0.799,252.84,0.00,0.00
question,WebQTest-1091_7748f217fe4be83a21d74ddef477d627,1,1.354,403.19,0.00,0.00
question,WebQTest-1091_843715b5d1b0569540e0316e66763a38,1,0.716,216.67,0.00,0.00
question,WebQTest-1091_9a69191735636d5c80ee0a6dd1153086,1,1.133,343.04,0.00,0.00
question,WebQTest-1091_9be8c18e016b713cbb7f7feb6badebc7,1,0.837,253.36,0.00,0.00
question,WebQTest-1091_9ec8d61f09759315d481f3e1b8f96bd1,1,1.135,344.79,0.00,0.00
question,WebQTest-1091_c2f4807a175372c3e75691b565d1936d,1,1.388,405.35,0.00,0.00
question,WebQTest-1091_ca2edeb3b86bc89bf8b0c915fd46451a,1,0.962,277.95,0.00,0.00
question,WebQTest-1091_d3301dedbdcb2d171a75be1631e8cec5,1,0.729,218.51,0.00,0.00
question,WebQTest-1091_e59e67ce229e185f08ce30ce73f32ade,1,1.157,342.81,0.00,0.00
question,WebQTest-1091_f5779141967bbbc15b40ea3d5df71e93,1,1.120,345.16,0.00,0.00
question,WebQTest-1103_ae2fa8293b479842e7e236d1e925d808,1,1.406,440.76,0.00,0.00
question,WebQTest-1108_1988e0b7c1ed7316160b416a7c83b44d,1,0.753,246.62,0.00,0.00
question,WebQTest-1108_33675738b1c363431ed63babcc989cb8,1,1.464,441.01,0.00,0.00
question,WebQTest-1119_8c41904eaef9fce2d95afd27eb9150ec,1,1.081,311.36,0.00,0.00
question,WebQTest-1119_af822f386c49e89a32d2889d16618e1c,1,0.840,248.34,0.00,0.00
question,WebQTest-1120_0748ec0755fe09c857c9179e9201eda7,1,1.095,312.61,0.00,0.00
question,WebQTest-1120_08c0146e6ee5281e52c72f9bb9199474,1,0.916,280.89,0.00,0.00
question,WebQTest-1120_5fd34c6d0f1cf393b2bd58d6e9690993,1,1.308,403.53,0.00,0.00
question,WebQTest-1120_6c19bc1fe78f2c0015bfd29e5c12767c,1,-0.344,278.00,0.00,0.00
question,WebQTest-1120_b96b735d1d754f27bc8986b614669f7b,1,1.294,375.67,0.00,0.00
question,WebQTest-1120_c78405f6f2157645f1098f8a871f1bc2,1,0.922,282.95,0.00,0.00
question,WebQTest-1120_d3a47eb7c473a12bb993b4e47472989a,1,1.012,282.21,0.00,0.00
question,WebQTest-1120_dfad75afd3c40503f595b4cb6acc43a5,1,0.836,250.86,0.00,0.00
question,WebQTest-1120_f25e1b6a5f19331858581dc6846ab77d,1,0.839,246.17,0.00,0.00
question,WebQTest-114_05a60a5e9a6d52b6f23993c4868c111f,1,1.296,374.62,0.00,0.00
question,WebQTest-1168_1591d6a0e6cef93c6863edb2eb0e198f,1,-0.004,345.00,0.00,0.00
question,WebQTest-1168_17147c6f2bf24962e9f919a8a53f59e6,1,1.330,409.16,0.00,0.00
question,WebQTest-1168_8d0b479d648d518072ba26f45d31a385,1,1.491,440.88,0.00,0.00
question,WebQTest-1168_90746cdb6907ee563690492ccc6d7234,1,1.243,377.05,0.00,0.00
question,WebQTest-1168_f6cf5b0414c7636d8fecd35de820ce08,1,1.086,344.69,0.00,0.00
question,WebQTest-1171_05a60a5e9a6d52b6f23993c4868c111f,1,1.481,438.16,0.00,0.00
question,WebQTest-1171_08b211abb4b7be318974b86ebdf429c6,1,1.195,346.61,0.00,0.00
question,WebQTest-1171_33c96d5baf27c97a69be11053e224a8f,1,2.083,629.78,0.00,0.00
question,WebQTest-1171_36be0686f0f845782d8e8d0c09704e45,1,1.486,437.84,0.00,0.00
question,WebQTest-1171_698c190da80f4609edc89ea60e2181d2,1,1.030,313.74,0.00,0.00
question,WebQTest-1171_6bdeb539174509f051a303e0ee59c246,1,1.155,345.91,0.00,0.00
question,WebQTest-1171_9d97dbacae72da3d13bebc0a3f095297,1,1.203,348.86,0.00,0.00
question,WebQTest-1171_a8ed8aa8e8eaf11e4b00b81b2ac2ac23,1,1.385,405.86,0.00,0.00
question,WebQTest-1178_08a3071aec88af141fc20ed22cfff0e2,1,0.891,280.06,0.00,0.00
