t,gpu0_w
1786362799.726,315.733
1786362799.827,316.317
1786362799.927,316.392
1786362800.027,316.452
1786362800.128,316.423
1786362800.228,316.453
1786362800.328,315.64
1786362800.429,315.656
1786362800.529,315.77
1786362800.631,314.245
1786362800.731,314.309
1786362800.832,316.076
1786362800.933,315.912
1786362801.034,315.939
1786362801.135,315.964
1786362801.236,316.051
1786362801.338,316.055
1786362801.439,316.804
1786362801.540,315.669
1786362801.641,315.511
1786362801.741,315.535
1786362801.842,315.473
1786362801.942,315.473
1786362802.043,315.432
1786362802.144,315.325
1786362802.244,315.286
1786362802.345,315.269
1786362802.445,315.162
1786362802.545,315.177
1786362802.647,315.296
1786362802.751,316.509
1786362802.851,316.371
1786362802.955,316.497
1786362803.057,316.48
1786362803.161,316.435
1786362803.265,316.262
1786362803.369,316.222
1786362803.469,316.217
1786362803.570,316.338
1786362803.671,316.383
1786362803.772,316.357
1786362803.872,316.339
1786362803.973,316.296
1786362804.074,317.602
1786362804.174,317.682
1786362804.275,316.33
1786362804.375,316.282
1786362804.475,316.3
1786362804.576,316.233
1786362804.676,316.177
1786362804.778,316.122
1786362804.880,316.134
1786362804.984,316.19
1786362805.084,316.307
1786362805.185,316.081
1786362805.288,315.256
1786362805.392,316.758
1786362805.493,316.91
1786362805.597,316.886
1786362805.698,316.963
1786362805.802,317.117
1786362805.906,317.272
1786362806.010,317.294
1786362806.111,317.285
1786362806.213,317.311
1786362806.314,315.421
1786362806.415,316.403
1786362806.516,316.418
1786362806.618,316.247
1786362806.719,315.096
1786362806.820,315.314
1786362806.922,315.156
1786362807.023,315.156
1786362807.124,315.038
1786362807.225,315.014
1786362807.326,315.011
1786362807.426,314.996
1786362807.527,315.832
1786362807.628,315.895
1786362807.729,315.867
1786362807.830,316.028
1786362807.930,317.296
1786362808.031,317.11
1786362808.131,317.127
1786362808.232,317.125
1786362808.332,317.084
1786362808.436,317.101
1786362808.536,317.246
1786362808.636,318.577
1786362808.736,316.94
1786362808.840,316.894
1786362808.943,316.911
1786362809.047,317.13
1786362809.151,317.159
1786362809.255,317.082
1786362809.359,317.149
1786362809.460,315.463
1786362809.561,315.905
1786362809.665,315.715
1786362809.767,315.647
1786362809.867,317.206
1786362809.971,317.24
1786362810.074,317.226
1786362810.175,317.085
1786362810.277,316.252
1786362810.378,316.458
1786362810.482,314.843
1786362810.586,316.536
1786362810.686,316.05
1786362810.786,316.102
1786362810.887,316.283
1786362810.989,316.303
1786362811.091,316.328
1786362811.193,316.293
1786362811.294,314.578
1786362811.396,315.453
1786362811.497,315.254
1786362811.599,316.804
1786362811.700,316.926
1786362811.802,316.934
1786362811.903,315.734
1786362812.005,315.505
1786362812.107,315.659
1786362812.208,315.606
1786362812.310,315.49
1786362812.412,315.49
1786362812.513,317.011
1786362812.615,316.885
1786362812.717,316.749
1786362812.819,316.715
1786362812.921,316.49
1786362813.023,316.337
1786362813.125,317.651
1786362813.225,317.438
1786362813.327,315.816
1786362813.429,315.787
1786362813.531,315.879
1786362813.633,315.915
1786362813.735,315.972
1786362813.838,316.105
1786362813.940,316.007
1786362814.042,315.985
1786362814.144,316.074
1786362814.246,315.904
1786362814.348,316.323
1786362814.451,317.784
1786362814.554,317.839
1786362814.656,317.789
1786362814.759,317.803
1786362814.860,317.808
1786362814.962,317.684
1786362815.062,317.773
1786362815.165,316.47
1786362815.267,316.539
1786362815.370,316.546
1786362815.471,316.336
1786362815.573,316.428
1786362815.676,316.57
1786362815.776,316.576
1786362815.877,316.557
1786362815.979,314.402
1786362816.082,314.502
1786362816.183,314.455
1786362816.286,315.843
1786362816.389,315.783
1786362816.489,315.828
1786362816.592,315.816
1786362816.694,314.365
1786362816.797,314.245
1786362816.898,314.231
1786362817.001,314.259
1786362817.105,315.423
1786362817.209,315.381
1786362817.313,315.345
1786362817.417,315.351
1786362817.519,314.095
1786362817.623,314.068
1786362817.727,314.092
1786362817.829,315.391
1786362817.932,315.343
1786362818.035,315.417
1786362818.138,315.536
1786362818.241,316.533
1786362818.344,316.731
1786362818.445,316.744
1786362818.545,316.855
1786362818.647,316.74
1786362818.748,316.768
1786362818.851,316.785
1786362818.952,316.802
1786362819.056,316.821
1786362819.160,316.809
1786362819.264,316.652
1786362819.368,316.634
1786362819.472,316.534
1786362819.575,316.598
1786362819.679,316.684
1786362819.780,318.051
1786362819.881,317.979
1786362819.982,317.916
1786362820.082,317.916
1786362820.183,317.985
1786362820.285,317.918
1786362820.389,317.153
1786362820.489,317.331
1786362820.593,317.475
1786362820.697,317.506
1786362820.799,317.604
1786362820.900,317.523
1786362821.001,315.648
1786362821.104,316.075
1786362821.207,316.151
1786362821.310,316.17
1786362821.413,316.163
1786362821.514,316.933
1786362821.617,316.86
1786362821.719,315.838
1786362821.822,315.447
1786362821.923,315.402
1786362822.026,315.36
1786362822.129,317.331
1786362822.231,317.017
1786362822.334,316.03
1786362822.438,316.04
1786362822.538,316.079
1786362822.641,314.58
1786362822.745,314.558
1786362822.848,315.492
1786362822.951,315.888
1786362823.053,315.829
1786362823.157,315.89
1786362823.259,315.878
1786362823.363,315.918
1786362823.463,316.978
1786362823.567,316.873
1786362823.671,316.862
1786362823.774,317.145
1786362823.878,317.1
1786362823.982,316.976
1786362824.086,317.098
1786362824.190,317.25
1786362824.294,317.154
1786362824.398,317.345
1786362824.502,317.219
1786362824.606,317.17
1786362824.710,317.218
1786362824.814,317.158
1786362824.918,318.429
1786362825.021,318.584
1786362825.129,316.434
1786362825.233,316.22
1786362825.337,316.107
1786362825.441,316.09
1786362825.545,315.886
1786362825.649,315.917
1786362825.753,315.926
1786362825.857,316.183
1786362825.958,316.341
1786362826.062,314.828
1786362826.166,314.773
1786362826.270,317.061
1786362826.374,317.273
1786362826.478,317.268
1786362826.582,317.319
1786362826.685,315.715
1786362826.788,315.827
1786362826.892,315.938
1786362826.997,315.781
1786362827.101,315.757
1786362827.205,317.211
1786362827.308,317.217
1786362827.412,317.22
1786362827.516,315.955
1786362826.470,315.982
1786362826.574,315.996
1786362826.677,317.674
1786362826.781,317.65
1786362826.882,317.485
1786362826.986,316.077
1786362827.090,316.063
1786362827.194,316.11
1786362827.298,316.134
1786362827.402,316.082
1786362827.506,317.241
1786362827.610,317.277
1786362827.713,317.361
1786362827.817,317.245
1786362827.921,317.17
1786362828.025,317.234
1786362828.129,318.522
1786362828.230,318.591
1786362828.334,317.027
1786362828.438,316.808
1786362828.542,316.758
1786362828.646,316.837
1786362828.750,316.67
1786362828.854,316.403
1786362828.958,316.418
1786362829.062,316.329
1786362829.166,315.401
1786362829.270,315.445
1786362829.374,315.448
1786362829.476,316.926
1786362829.580,315.174
1786362829.684,315.139
1786362829.788,314.989
1786362829.892,315.045
1786362829.996,315.17
1786362830.100,315.081
1786362830.204,315.043
1786362830.307,314.42
1786362830.411,314.402
1786362830.515,314.215
1786362830.619,314.205
1786362830.723,316.003
1786362830.827,316.099
1786362830.930,316.25
1786362831.034,316.153
1786362831.138,316.167
1786362831.239,316.262
1786362831.343,314.237
1786362831.447,315.738
1786362831.551,314.648
1786362831.653,314.632
1786362831.757,314.831
1786362831.861,314.737
1786362831.965,314.629
1786362832.067,314.476
1786362832.171,313.075
1786362832.275,313.057
1786362832.379,312.948
1786362832.483,314.946
1786362832.587,314.876
1786362832.691,315.954
1786362832.791,316.089
1786362832.892,315.923
1786362832.992,316.29
1786362833.097,316.405
1786362833.198,316.486
1786362833.302,315.817
1786362833.406,315.774
1786362833.510,315.825
1786362833.614,315.839
1786362833.718,315.869
1786362833.822,315.886
1786362833.924,315.877
1786362834.027,314.463
1786362834.131,314.197
1786362834.235,314.067
1786362834.340,313.937
1786362834.444,316.178
1786362834.544,316.333
1786362834.644,316.47
1786362834.745,316.527
1786362834.845,316.501
1786362834.946,316.497
1786362835.049,316.436
1786362835.150,316.059
1786362835.252,316.122
1786362835.355,316.289
1786362835.458,316.34
1786362835.561,316.195
1786362835.662,316.078
1786362835.765,315.875
1786362835.868,316.103
1786362835.971,316.176
1786362836.074,316.142
1786362836.175,316.105
1786362836.276,317.941
1786362836.379,316.094
1786362836.481,316.009
1786362836.585,316.038
1786362836.686,315.095
1786362836.790,315.359
1786362836.891,315.528
1786362836.994,315.286
1786362837.098,315.302
1786362837.200,315.451
1786362837.302,315.672
1786362837.406,315.7
1786362837.510,317.572
1786362837.614,317.564
1786362837.714,317.199
1786362837.818,317.138
1786362837.919,316.871
1786362838.023,316.909
1786362838.127,316.955
1786362838.230,316.943
1786362838.331,317.121
1786362838.432,317.003
1786362838.533,316.982
1786362838.635,316.894
1786362838.736,316.773
1786362838.837,317.034
1786362838.938,317.034
1786362839.042,318.178
1786362839.144,318.314
1786362839.247,317.689
1786362839.351,317.888
1786362839.452,315.408
1786362839.552,315.234
1786362839.655,315.287
1786362839.758,315.338
1786362839.860,315.16
1786362839.961,315.29
1786362840.062,315.316
1786362840.164,314.589
1786362840.265,313.894
1786362840.367,314.466
1786362840.468,314.223
1786362840.570,316.767
1786362840.671,316.44
1786362840.773,316.196
1786362840.874,316.125
1786362840.975,316.497
1786362841.076,316.454
1786362841.177,316.614
1786362841.278,317.361
1786362841.378,318.036
1786362841.479,318.02
1786362841.580,318.179
1786362841.680,316.818
1786362841.781,317.056
1786362841.881,316.194
1786362841.983,316.203
1786362842.085,316.016
1786362842.189,315.984
1786362842.290,315.868
1786362842.394,315.852
1786362842.498,315.839
1786362842.601,315.817
1786362842.705,315.759
1786362842.806,314.723
1786362842.909,314.89
1786362843.013,315.941
1786362843.116,316.04
1786362843.220,316.063
1786362843.322,316.141
1786362843.426,316.266
1786362843.530,316.137
1786362843.634,315.994
1786362843.738,315.958
1786362843.839,315.864
1786362843.943,318.076
1786362844.047,318.001
1786362844.148,318.144
1786362844.248,315.936
1786362844.349,315.998
1786362844.450,316.101
1786362844.550,315.974
1786362844.651,316.141
1786362844.751,316.322
1786362844.851,316.441
1786362844.955,316.601
1786362845.056,316.829
1786362845.158,316.829
1786362845.262,316.833
1786362845.363,316.756
1786362845.467,318.87
1786362845.571,319.084
1786362845.675,319.002
1786362845.778,318.994
1786362845.880,319.005
1786362845.984,317.594
1786362846.088,317.481
1786362846.192,317.279
1786362846.296,317.212
1786362846.398,317.022
1786362846.502,316.942
1786362846.604,316.878
1786362846.707,316.569
1786362846.808,316.535
1786362846.912,316.644
1786362847.016,316.494
1786362847.117,316.659
1786362847.221,316.523
1786362847.321,316.559
1786362847.424,314.957
1786362847.528,314.955
1786362847.632,314.869
1786362847.736,314.855
1786362847.837,314.995
1786362847.941,315.013
1786362848.045,314.924
1786362848.147,314.917
1786362848.249,314.513
1786362848.349,314.55
1786362848.453,312.569
1786362848.557,313.969
1786362848.661,314.006
1786362848.765,313.942
1786362848.868,313.87
1786362848.969,313.802
1786362849.070,313.128
1786362849.171,312.334
1786362849.272,312.256
1786362849.372,313.742
1786362849.473,313.737
1786362849.574,315.737
1786362849.675,315.864
1786362849.776,316.043
1786362849.877,316.234
1786362849.978,314.745
1786362850.078,314.9
1786362850.179,315.479
1786362850.280,316.239
1786362850.381,316.277
1786362850.482,316.33
1786362850.583,316.402
1786362850.684,316.369
1786362850.784,316.378
1786362850.885,316.233
1786362850.986,316.312
1786362851.087,318.011
1786362851.188,316.161
1786362851.289,316.476
1786362851.390,316.603
1786362851.491,316.776
1786362851.592,316.732
1786362851.693,316.722
1786362851.794,316.73
