t,gpu0_w
1786360465.335,306.173
1786360465.439,307.23
1786360465.543,305.818
1786360465.646,307.076
1786360465.750,307.943
1786360465.854,307.911
1786360465.958,306.804
1786360466.061,307.114
1786360466.165,306.574
1786360466.269,307.375
1786360466.373,307.502
1786360466.476,307.248
1786360466.580,307.507
1786360466.684,306.567
1786360466.788,306.539
1786360466.891,306.659
1786360466.995,306.784
1786360467.099,307.406
1786360467.203,307.208
1786360467.306,308.003
1786360467.410,307.909
1786360467.514,306.875
1786360467.617,307.941
1786360467.721,306.777
1786360467.825,309.143
1786360467.929,307.754
1786360468.032,307.747
1786360468.136,307.51
1786360468.240,306.521
1786360468.343,306.465
1786360468.447,306.154
1786360468.551,306.353
1786360468.655,307.73
1786360468.756,306.357
1786360468.860,307.462
1786360468.964,305.947
1786360469.065,307.236
1786360469.166,306.24
1786360469.268,306.41
1786360469.370,307.775
1786360469.471,306.38
1786360469.573,308.209
1786360469.675,305.857
1786360469.776,306.017
1786360469.878,305.007
1786360469.979,305.148
1786360470.081,305.283
1786360470.183,303.677
1786360470.284,304.792
1786360470.386,305.033
1786360470.487,304.035
1786360470.589,305.674
1786360470.690,304.174
1786360470.791,304.612
1786360470.893,304.392
1786360470.994,305.29
1786360471.095,305.149
1786360471.196,304.621
1786360471.297,306.176
1786360471.398,306.221
1786360471.499,306.001
1786360471.600,308.055
1786360471.701,306.605
1786360471.802,305.943
1786360471.903,307.802
1786360472.003,307.35
1786360472.104,308.14
1786360472.204,306.708
1786360472.305,306.708
1786360472.405,308.949
1786360472.505,309.013
1786360472.606,308.585
1786360472.707,307.474
1786360472.807,307.494
1786360472.907,306.718
1786360473.008,308.699
1786360473.108,306.493
1786360473.209,306.977
1786360473.309,307.609
1786360473.410,307.057
1786360473.510,306.802
1786360473.610,305.774
1786360473.711,305.766
1786360473.811,307.039
1786360473.912,307.263
1786360474.012,307.187
1786360474.112,307.484
1786360474.213,308.152
1786360474.313,308.348
1786360474.417,307.265
1786360474.521,308.272
1786360474.625,307.41
1786360474.727,307.137
1786360474.830,307.348
1786360474.933,307.247
1786360475.035,305.831
1786360475.138,307.1
1786360475.241,306.51
1786360475.344,307.852
1786360475.444,306.106
1786360475.544,307.192
1786360475.645,306.702
1786360475.745,306.079
1786360475.846,307.36
1786360475.947,308.859
1786360476.048,307.481
1786360476.149,308.626
1786360476.250,308.342
1786360476.350,308.577
1786360476.451,307.077
1786360476.552,308.608
1786360476.653,308.608
1786360476.753,307.008
1786360476.854,308.559
1786360476.954,308.316
1786360477.057,308.645
1786360477.157,307.033
1786360477.258,308.301
1786360477.358,307.4
1786360477.458,306.597
1786360477.559,306.672
1786360477.659,307.118
1786360477.760,307.228
1786360477.860,307.635
1786360477.961,307.621
1786360478.061,307.764
1786360478.161,307.781
1786360478.262,307.197
1786360478.362,307.498
1786360478.463,307.294
1786360478.563,309.317
1786360478.666,307.729
1786360478.766,308.781
1786360478.867,307.475
1786360478.967,308.645
1786360479.068,307.506
1786360479.168,309.131
1786360479.269,307.664
1786360479.369,309.69
1786360479.469,308.356
1786360479.570,308.031
1786360479.670,307.949
1786360479.771,308.171
1786360479.872,308.333
1786360479.974,308.274
1786360480.076,308.178
1786360480.176,308.211
1786360480.276,308.211
1786360480.377,308.077
1786360480.477,308.203
1786360480.577,306.935
1786360480.678,307.014
1786360480.778,307.07
1786360480.878,307.526
1786360480.979,308.882
1786360481.079,307.049
1786360481.180,307.103
1786360481.281,307.247
1786360481.382,308.294
1786360481.484,307.169
1786360481.586,306.003
1786360481.688,307.176
1786360481.788,307.033
1786360481.888,307.157
1786360481.989,306.55
1786360482.089,305.776
1786360482.190,307.525
1786360482.290,307.64
1786360482.390,306.344
1786360482.491,306.53
1786360482.591,306.348
1786360482.692,308.526
1786360482.792,308.583
1786360482.892,309.648
1786360482.993,311.213
1786360483.093,311.441
1786360483.194,310.939
1786360483.294,308.909
1786360483.395,310.117
1786360483.496,309.321
1786360483.597,309.45
1786360483.698,309.346
1786360483.798,309.445
1786360483.899,309.445
1786360484.000,307.734
1786360484.101,307.806
1786360484.201,306.362
1786360484.302,306.393
1786360484.402,305.977
1786360484.503,307.962
1786360484.604,306.116
1786360484.705,306.807
1786360484.805,306.524
1786360484.906,306.784
1786360485.007,306.658
1786360485.108,307.0
1786360485.208,307.039
1786360485.309,306.279
1786360485.409,304.508
1786360485.509,306.412
1786360485.610,306.263
1786360485.713,307.099
1786360485.813,307.485
1786360485.913,306.028
1786360486.014,307.207
1786360486.114,306.049
1786360486.215,305.967
1786360486.317,306.239
1786360486.419,306.748
1786360486.521,308.442
1786360486.624,307.078
1786360486.725,307.339
1786360486.828,307.074
1786360486.930,307.963
1786360487.032,308.231
1786360487.135,308.15
1786360487.237,307.968
1786360487.340,309.325
1786360487.442,309.238
1786360487.545,308.439
1786360487.647,307.113
1786360487.750,308.347
1786360487.852,307.202
1786360487.955,307.229
1786360488.058,307.252
1786360488.161,308.442
1786360488.263,306.502
1786360488.367,306.693
1786360488.470,306.964
1786360488.573,305.664
1786360488.676,307.978
1786360488.778,308.128
1786360488.881,308.236
1786360488.985,307.893
1786360489.088,309.284
1786360489.190,308.166
1786360489.293,308.162
1786360489.397,308.641
1786360489.501,309.849
1786360489.604,307.946
1786360489.708,309.119
1786360489.812,307.299
1786360489.915,308.619
1786360490.019,308.436
1786360490.123,307.993
1786360490.227,306.638
1786360490.330,307.78
1786360490.434,306.778
1786360490.538,308.277
1786360490.642,306.884
1786360490.746,308.544
1786360490.849,306.76
1786360490.953,308.04
1786360491.057,306.316
1786360491.160,305.093
1786360491.264,306.938
1786360491.368,307.611
1786360491.472,307.035
1786360491.576,306.618
1786360491.680,306.887
1786360491.783,306.961
1786360491.887,306.995
1786360491.991,307.557
1786360492.095,308.034
1786360492.199,308.488
1786360492.303,309.709
1786360492.406,309.8
1786360492.510,309.085
1786360492.614,309.545
1786360492.718,309.804
1786360492.822,309.587
1786360492.925,309.68
1786360493.029,309.592
1786360493.133,309.424
1786360492.134,309.347
1786360492.238,309.164
1786360492.342,307.773
1786360492.446,307.726
1786360492.549,307.627
1786360492.653,307.008
1786360492.757,307.59
1786360492.861,305.976
1786360492.964,307.596
1786360493.068,307.755
1786360493.172,307.731
1786360493.275,307.926
1786360493.379,307.797
1786360493.482,309.115
1786360493.586,309.021
1786360493.690,310.356
1786360493.794,309.677
1786360493.897,310.177
1786360494.001,310.698
1786360494.105,310.172
1786360494.208,308.832
1786360494.312,308.954
1786360494.416,308.883
1786360494.520,309.017
1786360494.624,309.019
1786360494.728,308.037
1786360494.831,307.988
1786360494.935,307.976
1786360495.039,306.89
1786360495.140,307.949
1786360495.240,306.846
1786360495.341,308.172
1786360495.441,308.311
1786360495.542,308.3
1786360495.643,308.333
1786360495.743,308.467
1786360495.843,309.429
1786360495.947,307.597
1786360496.047,309.043
1786360496.147,309.043
1786360496.248,308.125
1786360496.349,308.333
1786360496.449,307.349
1786360496.550,307.539
1786360496.650,306.432
1786360496.750,306.527
1786360496.851,306.246
1786360496.951,306.326
1786360497.052,304.372
1786360497.152,306.349
1786360497.252,307.21
1786360497.353,307.128
1786360497.453,305.226
1786360497.553,305.858
1786360497.654,306.157
1786360497.755,306.946
1786360497.855,306.766
1786360497.956,307.239
1786360498.058,307.09
1786360498.164,307.607
1786360498.264,307.501
1786360498.364,306.617
1786360498.465,307.479
1786360498.565,307.994
1786360498.666,309.538
1786360498.766,307.55
1786360498.866,309.015
1786360498.967,309.007
1786360499.067,310.174
1786360499.167,310.248
1786360499.268,310.497
1786360499.368,310.476
1786360499.469,310.796
1786360499.569,309.658
1786360499.669,310.852
1786360499.770,310.896
1786360499.871,310.896
1786360499.971,311.28
1786360500.071,311.184
1786360500.174,308.614
1786360500.277,308.175
1786360500.380,307.227
1786360500.483,308.571
1786360500.585,307.32
1786360500.688,308.373
1786360500.791,309.496
1786360500.895,309.583
1786360500.999,309.636
1786360501.102,310.779
1786360501.206,310.8
1786360501.310,313.533
1786360501.414,312.657
1786360501.514,313.55
1786360501.617,311.858
1786360501.721,313.085
1786360501.824,311.834
1786360501.928,311.866
1786360502.032,308.451
1786360502.136,308.695
1786360502.240,307.498
1786360502.343,307.554
1786360502.447,306.208
1786360502.551,306.841
1786360502.654,305.746
1786360502.758,306.084
1786360502.862,306.287
1786360502.966,306.175
1786360503.070,304.723
1786360503.173,307.998
1786360503.277,306.526
1786360503.381,307.779
1786360503.485,305.36
1786360503.588,306.665
1786360503.692,305.896
1786360503.796,305.101
1786360503.900,306.267
1786360504.003,305.045
1786360504.107,304.942
1786360504.211,306.361
1786360504.315,305.467
1786360504.418,306.611
1786360504.522,306.587
1786360504.626,308.978
1786360504.729,307.744
1786360504.833,309.104
1786360504.937,309.056
1786360505.041,309.218
1786360505.145,308.341
1786360505.249,309.909
1786360505.350,308.715
1786360505.450,309.728
1786360505.551,307.515
1786360505.651,307.537
1786360505.752,302.074
1786360505.853,301.396
1786360505.954,301.656
1786360506.054,301.708
1786360506.155,301.908
1786360506.255,303.949
1786360506.356,302.772
1786360506.456,304.025
1786360506.556,302.908
1786360506.657,305.297
1786360506.757,305.272
1786360506.858,309.488
1786360506.958,309.619
1786360507.059,309.55
1786360507.159,309.56
1786360507.260,309.484
1786360507.360,308.254
1786360507.461,309.413
1786360507.561,308.325
1786360507.661,309.368
1786360507.762,307.403
1786360507.862,307.508
1786360507.962,307.128
1786360508.063,308.847
1786360508.164,307.526
1786360508.266,309.419
1786360508.367,308.119
1786360508.469,309.348
1786360508.569,309.232
1786360508.670,309.232
1786360508.770,309.046
1786360508.870,309.179
1786360508.971,308.904
1786360509.072,308.995
1786360509.174,310.57
1786360509.275,309.268
1786360509.379,308.538
1786360509.480,308.734
1786360509.581,309.907
1786360509.683,308.627
1786360509.784,307.305
1786360509.885,308.476
1786360509.986,306.914
1786360510.087,308.935
1786360510.187,306.685
1786360510.288,305.495
1786360510.389,306.85
1786360510.490,307.123
1786360510.590,306.925
1786360510.691,304.919
1786360510.791,306.078
1786360510.891,306.183
1786360510.994,306.173
1786360511.097,306.305
1786360511.200,306.467
1786360511.303,306.986
1786360511.406,308.261
1786360511.509,306.854
1786360511.612,307.227
1786360511.716,307.191
1786360511.819,309.198
1786360511.923,307.596
1786360512.026,308.766
1786360512.130,307.331
1786360512.234,308.574
1786360512.338,307.248
1786360512.441,308.651
1786360512.545,308.588
1786360512.649,308.458
1786360512.753,309.643
1786360512.856,307.868
1786360512.960,307.93
1786360513.064,308.421
1786360513.168,308.537
1786360513.272,309.179
1786360513.375,309.126
1786360513.481,308.422
1786360513.584,307.428
1786360513.688,307.319
1786360513.792,308.765
1786360513.896,307.833
1786360513.997,309.695
1786360514.101,308.395
1786360514.205,307.766
1786360514.308,307.695
1786360514.411,308.557
1786360514.514,307.68
1786360514.617,309.599
1786360514.720,309.709
1786360514.823,308.656
1786360514.926,308.692
1786360515.029,308.748
1786360515.132,307.528
1786360515.236,308.994
1786360515.339,309.489
1786360515.443,309.62
1786360515.546,309.378
1786360515.650,309.475
1786360515.754,308.457
1786360515.858,308.31
1786360515.961,309.585
1786360516.065,309.666
1786360516.169,310.551
1786360516.273,310.732
1786360516.377,310.54
1786360516.481,310.807
1786360516.584,310.779
1786360516.690,309.306
1786360516.793,308.842
1786360516.897,310.13
1786360517.001,310.22
1786360517.105,310.093
1786360517.209,308.49
1786360517.312,308.516
1786360517.416,307.815
1786360517.519,307.802
1786360517.621,307.811
1786360517.723,306.528
1786360517.826,307.816
1786360517.928,308.581
1786360518.035,306.318
1786360518.137,305.789
1786360518.240,306.287
1786360518.342,307.827
1786360518.445,305.901
1786360518.548,307.62
1786360518.651,306.637
1786360518.754,307.722
1786360518.857,308.039
1786360518.960,308.522
1786360519.063,307.259
1786360519.165,309.366
1786360519.268,308.566
1786360519.371,308.09
1786360519.475,307.111
1786360519.579,307.66
1786360519.681,307.71
1786360519.785,307.199
1786360519.889,307.205
1786360519.992,306.639
1786360520.096,305.346
1786360520.200,307.346
1786360520.304,306.309
1786360520.408,308.823
1786360520.512,307.444
1786360520.615,308.54
1786360520.719,308.47
1786360520.823,308.653
1786360520.926,309.114
1786360521.030,308.602
1786360521.134,309.14
1786360521.237,310.472
1786360521.341,309.313
1786360521.445,310.437
1786360521.549,308.342
1786360521.653,308.65
1786360521.757,308.634
1786360521.860,308.596
1786360521.964,308.401
1786360522.067,308.241
1786360522.171,308.68
1786360522.275,308.203
1786360522.379,307.269
1786360522.483,307.437
1786360522.587,307.263
1786360522.690,307.955
1786360522.794,309.191
1786360522.898,309.333
1786360523.002,308.828
1786360523.103,307.809
1786360523.207,309.059
1786360523.308,307.765
1786360523.412,307.861
1786360523.515,308.181
1786360523.619,307.746
1786360523.723,307.922
1786360523.827,308.091
1786360523.931,307.957
1786360524.035,306.587
1786360524.138,308.727
1786360524.242,308.409
1786360524.346,308.52
1786360523.352,307.928
1786360523.456,309.587
1786360523.560,310.464
1786360523.663,310.327
1786360523.769,308.493
1786360523.873,307.954
1786360523.977,308.519
1786360524.080,308.517
1786360524.184,308.569
1786360524.288,309.475
1786360524.392,308.863
1786360524.496,309.033
1786360524.600,308.623
1786360524.703,307.222
1786360524.807,308.002
1786360524.911,308.638
1786360525.015,308.746
1786360525.118,307.45
1786360525.222,307.428
1786360525.326,307.442
1786360525.430,306.927
1786360525.534,305.943
1786360525.637,308.028
1786360525.741,306.931
1786360525.845,308.749
1786360525.949,307.653
1786360526.053,308.59
1786360526.156,309.117
1786360526.260,309.854
1786360526.363,309.43
1786360526.467,309.15
1786360526.571,309.906
1786360526.675,311.459
1786360526.779,310.991
1786360526.882,312.15
1786360526.983,312.143
1786360527.087,313.0
1786360527.190,313.04
1786360527.292,312.967
1786360527.396,311.3
1786360527.500,312.895
1786360527.603,311.883
1786360527.707,310.589
1786360527.811,310.758
1786360527.915,310.763
1786360528.019,309.243
1786360528.123,309.316
1786360528.226,308.118
1786360528.328,308.055
1786360528.432,308.07
1786360528.536,309.675
1786360528.640,308.263
1786360528.743,309.271
1786360528.847,309.369
1786360528.951,307.858
1786360529.055,307.94
1786360529.158,308.341
1786360529.262,308.264
1786360529.366,308.484
1786360529.469,307.335
1786360529.573,308.352
1786360529.677,307.471
1786360529.781,307.46
1786360529.885,305.996
1786360529.988,307.686
1786360530.092,307.653
1786360530.196,307.595
1786360530.299,306.505
1786360530.403,306.674
1786360530.507,307.581
1786360530.611,307.861
1786360530.715,307.005
1786360530.819,307.916
1786360530.922,308.067
1786360531.026,309.688
1786360531.130,308.127
1786360531.234,308.558
1786360531.337,308.466
1786360531.441,309.547
1786360531.544,309.711
1786360531.648,308.712
1786360531.752,309.767
1786360531.856,309.776
1786360531.960,308.26
1786360532.062,309.978
1786360532.166,308.658
1786360532.270,308.675
1786360532.371,308.775
1786360532.474,307.834
1786360532.580,308.954
1786360532.683,306.717
1786360532.787,307.851
1786360532.891,307.722
1786360532.995,307.562
1786360533.098,309.018
1786360533.202,306.735
1786360533.306,308.141
1786360533.410,307.942
1786360533.513,307.011
1786360533.618,307.972
1786360533.724,306.134
1786360533.828,307.985
1786360533.932,306.74
1786360534.035,306.788
1786360534.139,306.15
1786360534.243,304.875
1786360534.347,306.581
1786360534.450,305.244
1786360534.554,306.497
1786360534.658,306.944
1786360534.762,305.467
1786360534.866,307.19
1786360534.969,307.154
1786360535.073,307.383
1786360535.177,307.209
1786360535.281,307.849
1786360535.384,307.802
1786360535.488,306.913
1786360535.592,308.115
1786360535.692,307.225
1786360535.793,307.204
1786360535.893,308.783
1786360535.996,307.26
1786360536.097,307.382
1786360536.197,307.499
1786360536.298,307.357
1786360536.398,307.34
1786360536.499,308.861
1786360536.599,308.613
1786360536.700,306.747
1786360536.801,307.776
1786360536.904,308.754
1786360537.007,307.586
1786360537.111,307.867
1786360537.214,308.079
1786360537.317,309.085
1786360537.421,308.127
1786360537.524,309.17
1786360537.628,307.036
1786360537.732,308.408
1786360537.835,309.135
1786360537.939,309.13
1786360538.043,307.779
1786360538.147,307.831
1786360538.251,309.186
1786360538.353,307.393
1786360538.457,307.346
1786360538.559,306.726
1786360538.661,306.725
1786360538.764,307.128
1786360538.866,307.033
1786360538.969,306.945
1786360539.071,306.44
1786360539.174,307.419
1786360539.276,308.676
1786360539.378,307.242
1786360539.480,308.988
1786360539.582,307.879
1786360539.685,309.884
1786360539.787,308.614
1786360539.889,310.072
1786360539.991,308.603
1786360540.093,309.786
1786360540.196,310.28
1786360540.298,309.775
1786360540.399,309.668
1786360540.502,311.141
1786360540.604,308.798
1786360540.707,308.594
1786360540.809,308.527
1786360540.912,308.193
1786360541.015,308.179
1786360541.117,309.239
1786360541.220,308.436
1786360541.321,306.94
1786360541.421,307.969
1786360541.521,306.082
1786360541.622,306.082
1786360541.725,304.772
1786360541.828,307.004
1786360541.931,307.357
1786360542.031,307.382
1786360542.132,309.095
1786360542.232,308.34
1786360542.333,307.599
1786360542.436,308.369
1786360542.541,308.011
1786360542.645,308.184
1786360542.748,309.015
1786360542.851,309.157
1786360542.954,309.121
1786360543.058,309.994
1786360543.162,308.643
1786360543.266,308.601
1786360543.370,307.489
1786360543.474,308.698
1786360543.577,307.444
1786360543.681,309.355
1786360543.785,308.173
1786360543.889,309.277
1786360543.993,309.14
1786360544.094,309.541
1786360544.195,308.65
1786360544.297,309.965
1786360544.398,308.372
1786360544.499,310.353
1786360544.600,308.367
1786360544.701,309.491
1786360544.802,308.443
1786360544.903,309.372
1786360545.003,307.954
1786360545.104,309.248
1786360545.205,307.596
1786360545.305,307.453
1786360545.406,307.454
1786360545.507,308.982
1786360545.607,307.914
1786360545.708,308.551
1786360545.808,307.855
1786360545.908,307.017
1786360546.009,307.381
1786360546.110,307.675
1786360546.212,306.969
1786360546.314,307.874
1786360546.417,308.966
1786360546.521,307.656
1786360546.625,307.531
1786360546.729,307.216
1786360546.833,307.459
1786360546.937,308.235
1786360547.038,308.422
1786360547.142,308.118
1786360547.246,307.214
1786360547.350,307.83
1786360547.453,308.17
1786360547.557,306.337
1786360547.661,307.408
1786360547.765,305.797
1786360547.869,307.068
1786360547.973,307.138
1786360548.076,306.992
1786360548.180,306.915
1786360548.284,307.094
1786360548.387,307.352
1786360548.489,307.344
1786360548.591,306.292
1786360548.692,308.0
1786360548.793,306.712
1786360548.896,308.278
1786360548.998,307.176
1786360549.101,308.254
1786360549.203,307.313
1786360549.306,307.905
1786360549.409,307.769
1786360549.511,307.991
1786360549.614,308.45
1786360549.717,309.43
1786360549.820,308.037
1786360549.923,307.754
1786360550.025,308.1
1786360550.129,309.305
1786360550.232,308.144
1786360550.335,309.272
1786360550.438,309.073
1786360550.542,307.635
1786360550.645,309.53
1786360550.749,308.031
1786360550.852,306.926
1786360550.956,307.466
1786360551.060,308.347
1786360551.164,308.106
1786360551.268,306.825
1786360551.372,307.824
1786360551.475,306.553
1786360551.579,307.809
1786360551.683,308.373
1786360551.786,306.948
1786360551.890,307.857
1786360551.994,308.953
1786360552.097,308.639
1786360552.201,308.273
1786360552.305,308.255
1786360552.409,307.801
1786360552.513,306.193
1786360552.617,307.355
1786360552.718,306.454
1786360552.822,307.18
1786360552.926,308.094
1786360553.030,307.268
1786360553.133,305.802
1786360553.237,307.078
1786360553.341,308.242
1786360553.445,306.315
1786360553.549,308.192
1786360553.652,309.62
1786360553.756,308.614
1786360553.860,309.421
1786360553.964,308.526
1786360554.067,308.668
1786360554.171,307.865
1786360554.275,308.133
1786360554.376,308.147
1786360554.476,307.089
1786360554.577,308.908
1786360554.677,307.717
1786360554.778,308.038
1786360554.879,307.78
1786360554.981,308.386
1786360555.084,308.161
1786360555.186,308.176
1786360555.289,308.858
1786360555.391,309.084
1786360554.393,309.084
1786360554.494,309.212
1786360554.598,309.247
1786360554.699,309.483
1786360554.801,309.388
1786360554.902,309.274
1786360555.006,308.945
1786360555.110,307.558
1786360555.213,307.434
1786360555.317,307.434
1786360555.421,307.17
1786360555.522,308.669
1786360555.623,308.551
1786360555.723,308.45
1786360555.824,308.48
1786360555.924,307.908
1786360556.025,308.103
1786360556.126,309.748
1786360556.227,309.822
1786360556.327,311.291
1786360556.428,310.372
1786360556.529,311.965
1786360556.630,310.324
1786360556.730,308.405
1786360556.831,309.862
1786360556.931,309.944
1786360557.032,311.802
1786360557.132,311.673
1786360557.232,312.108
1786360557.333,310.813
1786360557.433,310.96
1786360557.533,310.652
1786360557.633,310.616
1786360557.734,310.949
1786360557.834,312.84
1786360557.935,310.866
1786360558.036,309.309
1786360558.137,309.577
1786360558.237,308.506
1786360558.337,308.229
1786360558.437,309.607
1786360558.538,309.507
1786360558.638,309.507
1786360558.739,309.183
1786360558.839,309.111
1786360558.939,308.753
1786360559.040,308.9
1786360559.141,309.555
1786360559.241,311.09
1786360559.342,309.679
1786360559.443,310.791
1786360559.543,309.259
1786360559.644,310.142
1786360559.744,308.733
1786360559.845,310.272
1786360559.946,309.416
1786360560.046,310.756
1786360560.147,308.861
1786360560.248,309.922
1786360560.349,306.801
1786360560.450,307.782
1786360560.551,306.718
1786360560.652,308.335
1786360560.752,306.991
1786360560.852,308.387
1786360560.953,306.591
1786360561.053,307.449
1786360561.154,307.499
1786360561.254,309.096
1786360561.354,308.113
1786360561.455,311.049
1786360561.555,311.112
1786360561.655,311.018
1786360561.756,311.006
1786360561.856,312.303
1786360561.956,311.044
1786360562.057,310.948
1786360562.157,310.948
1786360562.257,311.174
1786360562.358,311.009
