scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1280,1,0.770,246.31,0.00,0.00
question,WebQTest-1281,1,0.815,250.42,0.00,0.00
question,WebQTest-1282,1,1.115,313.41,0.00,0.00
question,WebQTest-1284,1,0.962,310.41,0.00,0.00
question,WebQTest-1285,1,1.254,378.41,0.00,0.00
question,WebQTest-1287,1,0.844,245.69,0.00,0.00
question,WebQTest-1289,1,1.407,437.32,0.00,0.00
question,WebQTest-129,1,0.868,249.46,0.00,0.00
question,WebQTest-1291,1,0.780,212.95,0.00,0.00
question,WebQTest-1292,1,0.799,251.15,0.00,0.00
question,WebQTest-1293,1,1.413,438.62,0.00,0.00
question,WebQTest-1294,1,1.069,312.54,0.00,0.00
question,WebQTest-1295,1,1.382,406.20,0.00,0.00
question,WebQTest-1296,1,1.170,374.63,0.00,0.00
question,WebQTest-1297,1,0.712,186.94,0.00,0.00
question,WebQTest-1298,1,0.731,249.28,0.00,0.00
question,WebQTest-13,1,0.909,275.81,0.00,0.00
question,WebQTest-1300,1,0.941,282.58,0.00,0.00
question,WebQTest-1301,1,1.426,407.17,0.00,0.00
question,WebQTest-1303,1,0.869,279.25,0.00,0.00
question,WebQTest-1304,1,1.254,378.74,0.00,0.00
question,WebQTest-1305,1,0.783,251.86,0.00,0.00
question,WebQTest-1306,1,0.964,281.63,0.00,0.00
question,WebQTest-1307,1,1.258,371.49,0.00,0.00
question,WebQTest-1308,1,0.764,218.23,0.00,0.00
question,WebQTest-1309,1,0.799,251.23,0.00,0.00
question,WebQTest-131,1,1.027,312.84,0.00,0.00
question,WebQTest-1310,1,0.674,219.85,0.00,0.00
question,WebQTest-1311,1,1.254,376.78,0.00,0.00
question,WebQTest-1312,1,0.809,249.00,0.00,0.00
question,WebQTest-1313,1,1.241,377.11,0.00,0.00
question,WebQTest-1314,1,-0.125,282.03,0.00,0.00
question,WebQTest-1316,1,0.695,220.47,0.00,0.00
question,WebQTest-1317,1,1.101,342.58,0.00,0.00
question,WebQTest-1319,1,0.908,282.83,0.00,0.00
question,WebQTest-132,1,1.170,342.62,0.00,0.00
question,WebQTest-1320,1,0.799,217.09,0.00,0.00
question,WebQTest-1321,1,1.275,407.16,0.00,0.00
question,WebQTest-1322,1,1.399,409.20,0.00,0.00
question,WebQTest-1323,1,1.279,410.56,0.00,0.00
question,WebQTest-1324,1,0.734,218.35,0.00,0.00
question,WebQTest-1325,1,0.780,213.77,0.00,0.00
question,WebQTest-1326,1,1.502,473.92,0.00,0.00
question,WebQTest-1327,1,0.660,184.11,0.00,0.00
question,WebQTest-1328,1,1.149,345.04,0.00,0.00
question,WebQTest-1329,1,0.893,281.92,0.00,0.00
question,WebQTest-133,1,0.814,248.22,0.00,0.00
question,WebQTest-1330,1,0.780,214.17,0.00,0.00
question,WebQTest-1331,1,0.906,284.31,0.00,0.00
question,WebQTest-1332,1,1.597,500.46,0.00,0.00
question,WebQTest-1333,1,1.512,439.80,0.00,0.00
question,WebQTest-1334,1,1.041,301.26,0.00,0.00
question,WebQTest-1335,1,0.695,218.87,0.00,0.00
question,WebQTest-1336,1,0.837,247.39,0.00,0.00
question,WebQTest-1337,1,1.364,410.27,0.00,0.00
question,WebQTest-1339,1,0.728,219.63,0.00,0.00
question,WebQTest-134,1,1.133,346.41,0.00,0.00
question,WebQTest-1340,1,0.877,274.96,0.00,0.00
question,WebQTest-1341,1,0.992,279.72,0.00,0.00
question,WebQTest-1342,1,0.694,216.62,0.00,0.00
question,WebQTest-1343,1,1.029,314.69,0.00,0.00
question,WebQTest-1344,1,0.879,244.75,0.00,0.00
question,WebQTest-1348,1,1.318,408.46,0.00,0.00
question,WebQTest-1350,1,1.292,408.66,0.00,0.00
question,WebQTest-1351,1,0.728,217.93,0.00,0.00
question,WebQTest-1353,1,1.025,312.58,0.00,0.00
question,WebQTest-1354,1,-0.243,250.96,0.00,0.00
question,WebQTest-1355,1,1.097,345.99,0.00,0.00
question,WebQTest-1356,1,1.209,377.88,0.00,0.00
question,WebQTest-1357,1,1.080,312.56,0.00,0.00
question,WebQTest-1358,1,0.737,213.15,0.00,0.00
question,WebQTest-1359,1,0.878,278.92,0.00,0.00
question,WebQTest-1361,1,0.763,218.72,0.00,0.00
question,WebQTest-1362,1,0.910,280.51,0.00,0.00
question,WebQTest-1363,1,1.133,346.87,0.00,0.00
question,WebQTest-1364,1,0.920,282.65,0.00,0.00
question,WebQTest-1365,1,0.919,280.80,0.00,0.00
question,WebQTest-1366,1,1.206,347.54,0.00,0.00
question,WebQTest-1367,1,0.932,281.26,0.00,0.00
question,WebQTest-1368,1,0.957,317.60,0.00,0.00
question,WebQTest-1369,1,1.169,346.05,0.00,0.00
question,WebQTest-1370,1,1.228,376.47,0.00,0.00
question,WebQTest-1373,1,0.960,278.94,0.00,0.00
question,WebQTest-1374,1,1.076,307.92,0.00,0.00
question,WebQTest-1376,1,0.729,216.81,0.00,0.00
question,WebQTest-1378,1,0.555,183.34,0.00,0.00
question,WebQTest-1379,1,0.988,277.05,0.00,0.00
question,WebQTest-138,1,1.102,340.34,0.00,0.00
question,WebQTest-1380,1,1.080,344.39,0.00,0.00
question,WebQTest-1381,1,0.834,247.49,0.00,0.00
question,WebQTest-1382,1,1.287,369.41,0.00,0.00
question,WebQTest-1383,1,0.728,218.46,0.00,0.00
question,WebQTest-1384,1,0.922,281.95,0.00,0.00
question,WebQTest-1385,1,2.178,655.87,0.00,0.00
question,WebQTest-1387,1,0.893,280.93,0.00,0.00
question,WebQTest-1388,1,0.872,250.29,0.00,0.00
question,WebQTest-1389,1,1.027,313.32,0.00,0.00
question,WebQTest-139,1,0.855,249.07,0.00,0.00
question,WebQTest-1390,1,0.924,282.15,0.00,0.00
question,WebQTest-1391,1,0.856,242.93,0.00,0.00
question,WebQTest-1392,1,-0.371,252.83,0.00,0.00
question,WebQTest-1394,1,0.736,217.59,0.00,0.00
