t,gpu0_w
1786361215.708,314.964
1786361215.811,315.067
1786361215.912,313.33
1786361216.016,313.39
1786361216.120,313.454
1786361216.223,313.764
1786361216.327,313.69
1786361216.431,315.134
1786361216.534,315.149
1786361216.638,314.071
1786361216.742,314.09
1786361216.845,314.111
1786361216.949,314.326
1786361217.052,316.126
1786361217.156,316.185
1786361217.260,316.215
1786361217.364,316.03
1786361217.465,314.462
1786361217.569,314.841
1786361217.673,314.939
1786361217.774,315.982
1786361217.878,315.988
1786361217.978,316.013
1786361218.081,315.116
1786361218.183,315.17
1786361218.286,315.425
1786361218.390,315.507
1786361218.494,315.542
1786361218.599,317.331
1786361218.703,317.049
1786361218.805,315.566
1786361218.909,315.56
1786361219.014,315.562
1786361219.118,315.574
1786361219.223,316.227
1786361219.327,316.32
1786361219.432,316.105
1786361219.536,315.966
1786361219.641,315.952
1786361219.745,315.881
1786361219.850,315.77
1786361219.954,317.336
1786361220.059,317.318
1786361220.159,317.287
1786361220.263,314.572
1786361220.367,313.92
1786361220.472,313.601
1786361220.577,313.465
1786361220.681,313.384
1786361220.785,313.375
1786361220.889,313.414
1786361220.989,313.497
1786361221.094,311.889
1786361221.198,311.801
1786361221.303,311.729
1786361221.407,314.527
1786361221.512,315.121
1786361221.616,315.263
1786361221.720,315.294
1786361221.825,314.078
1786361221.929,313.975
1786361222.034,314.066
1786361222.135,312.304
1786361222.240,313.934
1786361222.344,313.895
1786361222.449,314.144
1786361222.553,313.907
1786361222.658,313.944
1786361222.762,313.834
1786361222.867,313.735
1786361222.969,313.711
1786361223.073,313.758
1786361223.178,313.464
1786361223.282,315.104
1786361223.386,314.858
1786361223.491,314.999
1786361223.595,314.823
1786361223.696,314.892
1786361223.800,313.764
1786361223.905,313.896
1786361224.009,314.061
1786361224.113,315.4
1786361224.218,315.371
1786361224.322,315.584
1786361224.427,315.646
1786361224.527,315.725
1786361224.630,313.605
1786361224.734,313.652
1786361224.839,313.69
1786361224.943,314.877
1786361225.048,314.898
1786361225.152,314.879
1786361225.256,314.856
1786361225.361,314.942
1786361225.465,314.841
1786361225.570,314.877
1786361225.675,315.096
1786361225.779,317.286
1786361225.881,315.554
1786361225.985,315.492
1786361226.090,315.633
1786361226.194,315.49
1786361226.299,315.447
1786361226.403,315.444
1786361226.507,315.379
1786361226.608,315.301
1786361226.709,313.457
1786361226.813,311.192
1786361226.917,311.352
1786361227.021,311.865
1786361227.126,311.791
1786361227.230,311.567
1786361227.332,311.208
1786361227.433,311.187
1786361227.536,309.331
1786361227.641,309.254
1786361227.741,309.296
1786361227.845,311.062
1786361227.949,313.074
1786361228.052,312.1
1786361228.156,313.149
1786361228.260,313.41
1786361228.363,313.327
1786361228.467,313.706
1786361228.571,313.644
1786361228.671,314.136
1786361228.775,314.083
1786361228.880,314.009
1786361228.984,313.925
1786361229.087,313.828
1786361229.191,314.547
1786361229.295,314.601
1786361229.399,314.4
1786361229.503,314.736
1786361229.607,314.736
1786361229.711,314.708
1786361229.812,314.115
1786361229.916,314.307
1786361230.020,314.355
1786361230.124,314.339
1786361230.229,314.469
1786361230.332,314.448
1786361230.437,314.443
